date,county,fips,positive_patients,suspected_patients,icu_positive_patients,icu_suspected_patients,icu_available_beds
2021-11-06,Stanislaus,99,160.0,9.0,30.0,1.0,30.0
2021-11-06,Sutter,101,0.0,0.0,0.0,0.0,0.0
2021-11-06,Tehama,103,10.0,0.0,2.0,0.0,3.0
2021-11-06,Trinity,105,0.0,0.0,0.0,0.0,0.0
2021-11-06,Tulare,107,150.0,5.0,35.0,0.0,6.0
2021-11-06,Tuolumne,109,13.0,0.0,0.0,0.0,3.0
2021-11-06,Ventura,111,38.0,6.0,5.0,0.0,37.0
2021-11-06,Yolo,113,6.0,0.0,2.0,0.0,5.0
2021-11-06,Yuba,115,24.0,0.0,8.0,0.0,5.0
2021-11-05,Alameda,1,62.0,26.0,22.0,1.0,109.0
2021-11-05,Amador,5,7.0,1.0,2.0,1.0,0.0
2021-11-05,Butte,7,60.0,0.0,10.0,0.0,8.0
2021-11-05,Calaveras,9,4.0,0.0,0.0,0.0,3.0
2021-11-05,Colusa,11,3.0,0.0,0.0,0.0,0.0
2021-11-05,Contra Costa,13,38.0,11.0,16.0,1.0,47.0
2021-11-05,Del Norte,15,3.0,0.0,1.0,0.0,3.0
2021-11-05,El Dorado,17,11.0,1.0,3.0,0.0,5.0
2021-11-05,Fresno,19,324.0,16.0,64.0,2.0,27.0
2021-11-05,Glenn,21,0.0,2.0,0.0,0.0,0.0
2021-11-05,Humboldt,23,13.0,1.0,4.0,0.0,4.0
2021-11-05,Imperial,25,38.0,0.0,10.0,0.0,4.0
2021-11-05,Inyo,27,2.0,0.0,0.0,0.0,2.0
2021-11-05,Kern,29,220.0,1.0,61.0,0.0,17.0
2021-11-05,Kings,31,48.0,0.0,8.0,0.0,5.0
2021-11-05,Lake,33,2.0,0.0,1.0,0.0,0.0
2021-11-05,Lassen,35,4.0,0.0,0.0,0.0,0.0
2021-11-05,Los Angeles,37,660.0,100.0,161.0,8.0,555.0
2021-11-05,Madera,39,28.0,7.0,6.0,0.0,9.0
2021-11-05,Marin,41,2.0,3.0,1.0,0.0,17.0
2021-11-05,Mariposa,43,0.0,0.0,0.0,0.0,0.0
2021-11-05,Mendocino,45,9.0,0.0,3.0,0.0,1.0
2021-11-05,Merced,47,44.0,0.0,14.0,0.0,3.0
2021-11-05,Modoc,49,1.0,0.0,0.0,0.0,0.0
2021-11-05,Mono,51,0.0,0.0,0.0,0.0,2.0
2021-11-05,Monterey,53,18.0,1.0,1.0,0.0,15.0
2021-11-05,Napa,55,5.0,0.0,4.0,0.0,3.0
2021-11-05,Nevada,57,17.0,0.0,2.0,0.0,1.0
2021-11-05,Orange,59,219.0,10.0,49.0,1.0,136.0
2021-11-05,Placer,61,110.0,7.0,28.0,0.0,18.0
2021-11-05,Plumas,63,3.0,0.0,0.0,0.0,0.0
2021-11-05,Riverside,65,272.0,24.0,65.0,3.0,82.0
2021-11-05,Sacramento,67,161.0,24.0,42.0,3.0,66.0
2021-11-05,San Benito,69,2.0,0.0,1.0,0.0,2.0
2021-11-05,San Bernardino,71,299.0,21.0,83.0,4.0,137.0
2021-11-05,San Diego,73,277.0,20.0,77.0,2.0,187.0
2021-11-05,San Francisco,75,38.0,10.0,13.0,3.0,83.0
2021-11-05,San Joaquin,77,106.0,6.0,31.0,0.0,11.0
2021-11-05,San Luis Obispo,79,17.0,0.0,5.0,0.0,18.0
2021-11-05,San Mateo,81,23.0,14.0,6.0,1.0,14.0
2021-11-05,Santa Barbara,83,33.0,0.0,9.0,0.0,26.0
2021-11-05,Santa Clara,85,109.0,13.0,34.0,3.0,38.0
